time, magnitude, latitude, longitude, depth
1996-05-02T05:45:12.640Z,5.2,31.793,131.629,38.4
2008-03-10T01:44:33.130Z,5.1,31.793,131.462,53.8
1996-06-10T06:11:49.130Z,5.0,51.58,-177.035,33.0
1996-07-24T23:53:22.420Z,5.1,51.701,-177.124,54.6
1996-06-10T06:11:49.130Z,5.0,51.58,-177.035,33.0
2016-06-14T17:13:27.520Z,5.1,51.628,-177.053,54.2
1996-06-11T16:38:36.710Z,5.2,51.486,-178.321,33.0
2000-06-16T23:33:49.980Z,5.0,51.433,-178.346,33.0
1996-06-25T21:37:02.680Z,5.0,39.971,142.839,44.9
2002-04-11T12:04:13.480Z,5.3,39.987,142.813,35.9
1996-06-25T21:37:02.680Z,5.0,39.971,142.839,44.9
2008-05-31T14:28:35.100Z,5.0,39.983,142.604,33.5
1996-06-25T21:37:02.680Z,5.0,39.971,142.839,44.9
2011-05-02T21:25:49.540Z,5.1,40.102,142.564,32.3
1996-06-25T21:37:02.680Z,5.0,39.971,142.839,44.9
2011-12-20T06:26:23.210Z,5.1,40.099,142.559,52.7
1996-06-25T21:37:02.680Z,5.0,39.971,142.839,44.9
2014-01-16T01:12:17.710Z,5.1,40.115,142.818,51.8
1996-07-24T23:53:22.420Z,5.1,51.701,-177.124,54.6
2016-06-14T17:13:27.520Z,5.1,51.628,-177.053,54.2
1996-10-02T16:00:20.440Z,5.4,53.417,160.388,33.0
2010-08-15T02:10:38.390Z,5.5,53.557,160.121,40.3
1996-10-06T10:02:42.110Z,5.4,-9.785,118.002,53.8
2014-02-23T21:21:15.390Z,5.0,-9.817,117.957,33.7
1996-10-16T08:42:12.390Z,5.2,13.924,-92.063,33.0
2012-11-29T19:32:31.750Z,5.5,13.757,-92.113,10.0
1996-10-23T10:18:55.070Z,5.1,-22.283,170.811,33.0
2009-08-18T00:59:45.870Z,5.1,-22.476,170.731,55.0
1996-11-16T16:08:52.500Z,5.2,-11.421,165.736,33.0
2007-09-05T14:22:17.440Z,5.2,-11.479,165.777,35.0
1996-12-26T19:34:11.570Z,5.8,-5.36,151.357,107.1
2010-11-02T06:39:55.060Z,5.8,-5.355,151.556,35.0
1997-01-18T17:13:50.680Z,5.0,24.179,122.668,55.6
1999-10-02T17:14:17.810Z,5.2,24.069,122.434,44.7
1997-01-18T17:13:50.680Z,5.0,24.179,122.668,55.6
2002-09-15T01:06:55.800Z,5.1,24.098,122.463,36.0
1997-01-18T17:13:50.680Z,5.0,24.179,122.668,55.6
2004-11-10T14:48:06.920Z,5.1,24.076,122.344,56.8
1997-01-18T17:13:50.680Z,5.0,24.179,122.668,55.6
2010-07-18T13:03:24.500Z,5.1,24.131,122.47,26.9
1997-02-09T23:11:04.670Z,5.0,-20.235,-173.629,39.8
2005-04-30T08:28:37.570Z,5.0,-19.99,-173.68,10.0
1997-03-12T01:55:00.980Z,5.0,-23.452,-175.51,33.0
